"# of Use","عدد مرات الإستخدام"
"Please enter a new group name","Please enter a new group name"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","يرجى تحديد الأصناف"
"Please select one or more attributes.","يرجى اختيار واحد او اكثر من الصفات."
"Please select product(s)","يرجى اختيار المنتج / المنتجات"
"Please select products for attributes update","Please select products for attributes update"
"Please select static block ...","Please select static block ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","موقع"
"Position In Layered Navigation","Position In Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","السابق"
"Previous","السابق"
"Price","السعر"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","السعر:"
"Print This Page","طباعة الصفحة"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","منتج"
"Product %s successfully added to compare list","تم إضافة المنتج %s إلى قائمة المقارنة بنجاح"
"Product %s successfully removed from compare list","تم حذف المنتج %s إلى قائمة المقارنة بنجاح"
"Product API","Product API"
"Product Alerts","Product Alerts"
"Product Attribute","Product Attribute"
"Product Attributes","Product Attributes"
"Product Categories","Product Categories"
"Product Description","وصف المنتج"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","صور المنتج"
"Product Images API","Product Images API"
"Product In Websites","المنتج في الموقع"
"Product Info Column","Product Info Column"
"Product Information","معلومات المنتج"
"Product Name","اسم المنتج"
"Product Reviews","الآراء عن المنتج"
"Product Tags","أوسمة المنتج"
"Product Tier Price API","Product Tier Price API"
"Product Type","نوع المنتج"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Product attribute was successfully deleted"
"Product attribute was successfully saved","Product attribute was successfully saved"
"Product attributes API","Product attributes API"
"Product collection expected","Product collection expected"
"Product deleted","تم حذف المنتج"
"Product duplicated","تم تكرار المنتج"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","خطأ في حفظ المنيج"
"Product saving error. ","خطأ في حفظ المنتج. "
"Product types API","Product types API"
"Product was successfully created.","Product was successfully created."
"Product was successfully saved.","Product was successfully saved."
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","منتجات"
"Products Information","معلومات المنتجات"
"Products Reviews","الآراء عن المنتج"
"Products Sitemap","خريطة الموقع للمنتجات"
"Products only","المنتجات فقط"
"Products per Page on Grid default value","Products per Page on Grid default value"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Products per Page on List default value"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","خصائص"
"Qty","كمية"
"Qty Uses Decimals","Qty Uses Decimals"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Quick Create"
"Quick Overview","لمحة سريعة"
"Quick simple product creation","Quick simple product creation"
"Records for ""","تسجيل الى """
"Redirect","إعادة توجيه"
"Redirect URL","رابط إعادة التوجيه"
"Regular Price:","السعر العادي:"
"Related Products","منتجات ذات علاقة"
"Remove","حذف"
"Remove Product","حذف منتج"
"Remove Product From Websites","Remove Product From Websites"
"Remove This Item","حذف هذا العنصر"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","مطلوب"
"Reset","إلغاء"
"Results","نتائج"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","تم حذف بنجاح"
"Review was saved successfully","تم حفظ البيانات بنجاح"
"Review was successfully saved","تم حفظ البيانات بنجاح"
"Reviews","آراء"
"Roll Over for preview","Roll Over for preview"
"Root","Root"
"SKU","SKU"
"Save","حفظ"
"Save And Continue Edit","Save And Continue Edit"
"Save Attribute","Save Attribute"
"Save Attribute Set","Save Attribute Set"
"Save Category","Save Category"
"Save Search","حفظ البحث"
"Saved ","تم الحفظ "
"Scope","مدى"
"Search","بحث"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","معلومات البحث"
"Search Query","استفسار البحث"
"Search Term was successfully saved","تم حفظ كلمة البحث بنجاح"
"Search Term with such search query already exist.","Search Term with such search query already exist."
"Search was successfully deleted","تم حذف البحث بنجاح"
"Searchable","قابل للبحث"
"Select Configurable Attributes ","Select Configurable Attributes "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Selected Product Types"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Send Count"
"Set Ascending Direction","ترتيب تصاعدي"
"Set Descending Direction","ترتيب تناولي"
"Set Name","Set Name"
"Set Root Category For Store","Set Root Category For Store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","إعدادات"
"Shop by","تسوق عن طريق"
"Shopping Options","خيارات التسوق"
"Show","عرض"
"Show Details","عرض التفاصيل"
"Show Tags","Show Tags"
"Simple Product","منتجات بسيطة"
"Site Map","خريطة الموقع"
"Sitemap","خريطة الموقع"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort Order","الترتيب"
"Sort by","رتب ب"
"Source Model","Source Model"
"Special Price:","سعر خاص:"
"Starting at:","يبدأ من:"
"Static","Static"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Status","الحالة"
"Stock Availability","التوافر في المخزن"
"Store","متجر"
"Store View","Store View"
"Stretch","توسعة"
"Subscribe to Feed","Subscribe to Feed"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"Synonym for","Synonym for"
"System","نظام"
"System Properties","خصائص النظام"
"Tag Name","Tag Name"
"Tax","ضريبة"
"Text","نص"
"Text Area","مساحة النص"
"Text Field","حقل نص"
"There are no %s available.","لا يوجد هناك %s مسموحة"
"There are no customers for this alert","لا يوجد عملاء لهذا التنبيه"
"There are no products matching the selection.","لا توجد منتجات مطابقة مع الاختيارات."
"There was an error while adding products to websites","There was an error while adding products to websites"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","There was an error while removing products from websites"
"There was an error while updating product(s) attributes","There was an error while updating product(s) attributes"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","This attribute no longer exists"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"This is a required option","هذا الحقل مطلوب"
"This search no longer exists","هذا البحث غير موجود"
"Tier Pricing","تسعير خاص بالكميات"
"Tile","Tile"
"Time format","Time format"
"Title","عنوان"
"Top/Left","أعلى/يسار"
"Top/Right","أعلى/يمين"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","نوع"
"Unable to complete request. Please try again later.","لا يستطيع استكمال الطلب. يرجى اعادة المحاولة لاحقا."
"Unable to find a search term to delete","لا يمكن العثور كلمة البحث للحذف"
"Unable to find an attribute to delete","لا يمكن العثور على سمات للحذف"
"Unable to get product id.","لا يمكن الحصول على الرمز التعريفي للمنتج."
"Unassigned Attributes","Unassigned Attributes"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Unknown attribute: %s","Unknown attribute: %s"
"Up-sells","Up-sells"
"Update","تحديث"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Update attributes"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","رابط الموقع"
"Url Rewrite Management","Url Rewrite Management"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Use Config Settings"
"Use Default Value","Use Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Use In Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Use To Create Configurable Product"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Use categories path for product URLs"
"Use in advanced search","استخدام في البحث المتقدم"
"Use in quick search","استخدم في البحث السريع"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","قيم مطلوبة"
"Varchar","Varchar"
"View as","طريقة العرض"
"Virtual Product","Virtual Product"
"Visibility","الظهور"
"Visible","ظاهر"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Watermark"
"Watermark Default Size","Watermark Default Size"
"Watermark Position","Watermark Position"
"We Also Recommend","ننصح أيضاً"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","موقع"
"Websites","مواقع"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","نعم"
"Yes/No","نعم/لا"
"You cannot delete this attribute","لا يمكنك حذف هذه الصفة"
"You cannot edit this attribute","لا يمكنك اضافة هذه الصفة"
"You cannot remove system attribute from this set.","لا يمكنك حذف نظام الصفة من هذا الموقع."
"You cannot update this attribute","لا يمكنك تحديث هذه الصفة"
"You have no items to compare.","لا توجد عندك عناصر للمقارنة."
"You may also be interested in the following product(s)","و يمكنك ان تكون مهمتم بالمنتجات التالية"
"Zoom In","تكبير"
"Zoom Out","تصغير"
"[GLOBAL]","[عالمي]"
"and","و"
"and above","وفوق"
"cache refresh needed","cache refresh needed"
"categories","تصنيفات"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","بالصفحة"
"products","منتجات"
"px.","px."
"save","حفظ"
"select all","اختار الجميع"
"unselect all","إلغاء تحديد الكل"
"x","x"
"Description","وصف"
"Short Description","لمحة سريعة"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","التوافر:"
"Qty:","الكمية:"
"Compare Products","مقارنة المنتجات"
"You have no items to compare.","لا يوجد أي أصناف للمقارنة."
"Site Map","خريطة الموقع"
"Go to Home Page","اذهب إلى الصفحة الرئيسية"
"Home","الصفحة الرئيسية"
"Categories","تصنيفات"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","خريطة الموقع للتصنيفات"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","مسح الجميع"
"The product %s has been added to comparison list.","تم إاضافة %s إلى قائمة المقارنة بنجاح."
"The product %s has been removed from comparison list.","تم حذف %s من قائمة المقارنة بنجاح."
